Customer_ID,Age,Gender,Location,Subscription_Type,Monthly_Charges,Tenure_Months,Payment_Method,Support_Calls,Total_Usage_GB,Churn
1,56,Female,Urban,Standard,19.51,44,Debit Card,3,231.17,No
2,69,Male,Urban,Premium,75.9,42,Credit Card,8,282.05,Yes
3,46,Female,Suburban,Basic,38.89,35,Debit Card,3,381.94,No
4,32,Female,Suburban,Basic,33.88,30,Credit Card,3,175.6,No
5,60,Male,Urban,Basic,68.71,53,PayPal,3,74.24,No
6,25,Female,Suburban,Standard,60.31,58,Credit Card,1,48.08,Yes
7,78,Male,Suburban,Premium,42.62,28,PayPal,7,57.11,Yes
8,38,Female,Urban,Standard,67.73,15,Credit Card,3,475.06,Yes
9,56,Female,Urban,Premium,34.41,38,Credit Card,4,475.92,Yes
10,75,Female,Rural,Standard,81.53,50,PayPal,7,484.41,Yes
11,36,Female,Suburban,Basic,30.64,13,Credit Card,3,151.94,Yes
12,40,Female,Rural,Standard,24.3,35,Debit Card,4,96.62,Yes
13,28,Male,Urban,Basic,80.42,24,Credit Card,4,490.48,Yes
14,28,Female,Rural,Basic,73.71,65,Debit Card,5,494.14,Yes
15,41,Male,Urban,Standard,26.44,18,Credit Card,6,40.1,Yes
16,70,Female,Urban,Standard,20.46,58,Credit Card,2,376.51,Yes
17,53,Male,Rural,Standard,85.46,26,Debit Card,9,145.04,Yes
18,57,Male,Urban,Standard,79.89,29,Credit Card,2,454.74,Yes
19,41,Female,Suburban,Basic,39.45,44,Credit Card,8,45.52,No
20,20,Male,Urban,Standard,69.24,5,Debit Card,0,444.4,Yes
21,39,Female,Suburban,Standard,21.17,33,Debit Card,9,2.31,Yes
22,70,Male,Rural,Basic,55.63,5,Credit Card,7,261.47,Yes
23,19,Male,Urban,Premium,11.69,36,Debit Card,9,168.45,Yes
24,41,Female,Suburban,Standard,45.24,13,PayPal,2,214.24,No
25,61,Male,Urban,Standard,16.74,25,Credit Card,4,217.46,No
26,47,Male,Suburban,Premium,52.76,58,Debit Card,2,327.15,No
27,55,Female,Urban,Premium,47.95,2,Debit Card,9,12.53,No
28,19,Male,Urban,Premium,49.99,36,Credit Card,0,345.99,No
29,77,Female,Urban,Basic,14.08,25,Credit Card,9,12.08,Yes
30,38,Male,Urban,Basic,42.55,34,Credit Card,4,93.45,Yes
31,50,Male,Rural,Basic,78.08,12,Debit Card,7,303.76,Yes
